Change #,Page,ChangeType,Old Text,New Text,X,Y,W,H
1,1,Deleted,100,,654.3300170898438,479.5490417480469,25.82574462890625,17.14569091796875
2,1,Deleted,03/02/22,,2818.360107421875,2255.487548828125,49.171875,12.241943359375
3,1,Deleted,TARSEM SINGH,,2808.199951171875,2271.6376953125,73.7578125,12.241943359375
4,1,Deleted,PREM SINGH,,2921.659912109375,2271.017578125,61.46484375,12.241943359375
5,1,Deleted,INDIGO,,2819.570068359375,2309.677734375,36.87890625,12.241943359375
6,1,Deleted,JBM AUTO LIMITED,,2942.010009765625,2206.908935546875,146.346923828125,17.145751953125
7,1,Deleted,03/02/22,,2922.3798828125,2254.587646484375,49.171875,12.241943359375
8,1,Deleted,WH-00638-000,,3197.60009765625,2306.49462890625,118.0400390625,19.591552734375
9,1,Deleted,NITIN BHATE,,3021.239990234375,2270.927734375,67.611328125,12.241943359375
10,1,Deleted,03/02/22,,3027.260009765625,2255.40771484375,49.171875,12.241943359375
11,1,Deleted,26/09/2023,,2267.639892578125,2241.177490234375,56.5283203125,11.258544921875
12,1,Deleted,D.1,,2348.070068359375,2241.177490234375,16.95849609375,11.258544921875
13,1,Deleted,CO-0006602,,2388.8701171875,2241.177490234375,56.5283203125,11.258544921875
14,1,Deleted,1) POWER STEERING MOTOR TEMP CKT ADDED,,2491.659912109375,2241.177490234375,214.8076171875,11.258544921875
15,1,Deleted,AGAINST CKT NO PSTM1 AND PSTM2,,2514.280029296875,2252.4375,169.5849609375,11.258544921875
16,1,Deleted,2) QUERY FEEDBACK UPDATION (RSP 6 UNIT,,2491.659912109375,2263.70751953125,214.8076171875,11.258544921875
17,1,Deleted,DELETED FROM LAYOUT & 520 CKT UPDATED),,2491.659912109375,2274.967529296875,214.8076171875,11.258544921875
18,1,Deleted,TS,,2729.169921875,2241.177490234375,11.3056640625,11.258544921875
19,1,Deleted,NB,,2767.169921875,2241.177490234375,11.3056640625,11.258544921875
20,1,Deleted,29/12/2022,,2267.639892578125,2289.0673828125,56.5283203125,11.258544921875
21,1,Deleted,C.1,,2348.070068359375,2289.0673828125,16.95849609375,11.258544921875
22,1,Deleted,C0-0003061,,2388.8701171875,2289.0673828125,56.5283203125,11.258544921875
23,1,Deleted,CKT SPRE1 IS DELETED,,2542.550048828125,2289.0673828125,113.056640625,11.258544921875
